t,x,x_err,y,y_err
2013.5869,0.057909,0.000232,0.139501,0.000232
2013.5898,0.057257,0.000708,0.139324,0.000710
2013.6170,0.058299,0.000345,0.139023,0.000346
2015.4321,0.066184,0.000247,0.097738,0.000245
2015.5166,0.066654,0.000238,0.095330,0.000236
2015.7058,0.066975,0.000310,0.090068,0.000310
2015.7468,0.066790,0.000246,0.088463,0.000249
2016.2212,0.066118,0.000256,0.073339,0.000254
2016.2871,0.065984,0.000293,0.070790,0.000291
2016.3252,0.065965,0.000496,0.069680,0.000496
2016.3690,0.066185,0.000524,0.068691,0.000524
2016.5247,0.064423,0.000290,0.062721,0.000287
2016.5302,0.065114,0.000282,0.062739,0.000281
