2008.6009,1,0.011839,0.000237,0.178243,0.000237,,,1.42
2008.708,1,0.012639,0.000243,0.179188,0.000243,,,1.42
2009.1852,1,0.018427,0.000492,0.179136,0.000493,,,1.42
2009.2728,1,0.01908,0.000219,0.179228,0.000219,,,1.42
2009.3,1,0.01959,0.00024,0.179297,0.00024,,,1.42
2009.3027,1,0.019323,0.000218,0.17955,0.000219,,,1.42
2009.3355,1,0.019387,0.000242,0.179235,0.000242,,,1.42
2009.3357,1,0.01953,0.000264,0.179197,0.000264,,,1.42
2009.3711,1,0.019665,0.00022,0.179019,0.00022,,,1.42
2009.3851,2,,,,,-241.,40.,1
2009.5024,1,0.020902,0.000304,0.179006,0.000304,,,1.42
2009.5045,1,0.02116,0.00022,0.179223,0.00022,,,1.42
2009.5568,1,0.021934,0.000255,0.179507,0.000255,,,1.42
2009.5569,1,0.021253,0.000225,0.179442,0.000225,,,1.42
2009.6061,1,0.022264,0.000226,0.179535,0.000227,,,1.42
2009.7181,1,0.023875,0.000231,0.179094,0.000232,,,1.42
2009.7755,1,0.024138,0.000242,0.178988,0.000242,,,1.42
2010.2338,1,0.029474,0.000252,0.177499,0.000252,,,1.42
2010.2391,1,0.029632,0.000218,0.176633,0.000218,,,1.42
2010.2392,1,0.028958,0.00025,0.177121,0.000247,,,1.42
2010.2446,1,0.029254,0.000279,0.176824,0.000278,,,1.42
2010.3514,1,0.03061,0.000235,0.176564,0.000235,,,1.42
2010.3539,2,,,,,-134.,24.,1
2010.4439,1,0.031769,0.00024,0.176096,0.00024,,,1.42
2010.4551,1,0.031772,0.000225,0.175943,0.000224,,,1.42
2010.4552,1,0.03135,0.000227,0.176116,0.000227,,,1.42
2010.4553,1,0.031162,0.000283,0.175436,0.00028,,,1.42
2010.4602,1,0.031319,0.000346,0.176149,0.000347,,,1.42
2010.6162,1,0.031834,0.000227,0.17441,0.000227,,,1.42
2010.6187,1,0.033894,0.000234,0.175088,0.000234,,,1.42
2010.6215,1,0.033318,0.000246,0.175095,0.000246,,,1.42
2010.6242,1,0.033212,0.000222,0.175329,0.000221,,,1.42
2010.6269,1,0.033512,0.000268,0.174926,0.000268,,,1.42
2010.6763,1,0.033573,0.000356,0.174054,0.000356,,,1.42
2010.679,1,0.034182,0.000277,0.17443,0.000277,,,1.42
2011.2384,1,0.039724,0.000248,0.17066,0.000247,,,1.42
2011.2413,1,0.039667,0.001199,0.170571,0.001203,,,1.42
2011.2438,1,0.03912,0.000238,0.170393,0.000238,,,1.42
2011.2493,1,0.039493,0.00028,0.170291,0.000281,,,1.42
2011.3123,1,0.040348,0.000269,0.169828,0.000269,,,1.42
2011.3125,1,0.038876,0.00031,0.169942,0.000307,,,1.42
2011.3151,1,0.040494,0.000227,0.169742,0.000226,,,1.42
2011.3169,2,,,,,-3.,30.,1
2011.3367,1,0.040408,0.000217,0.169349,0.000217,,,1.42
2011.4433,1,0.041429,0.000231,0.168444,0.000231,,,1.42
2011.5528,1,0.042541,0.00035,0.167604,0.00035,,,1.42
2011.5665,2,,,,,35.,50.,1
2011.613,1,0.042703,0.000422,0.166901,0.000423,,,1.42
2011.6892,1,0.043985,0.000417,0.166282,0.000418,,,1.42
2011.6948,1,0.043873,0.000227,0.166081,0.000227,,,1.42
2011.6949,1,0.042762,0.000642,0.166212,0.000643,,,1.42
2011.6975,1,0.043917,0.000271,0.165955,0.000271,,,1.42
2011.7223,1,0.044078,0.000227,0.165609,0.000227,,,1.42
2012.2022,1,0.048019,0.000421,0.159846,0.000421,,,1.42
2012.2104,2,,,,,185.,30.,1
2012.3391,1,0.049584,0.000266,0.158391,0.000267,,,1.42
2012.3418,2,,,,,167.,30.,1
2012.4942,2,,,,,195.,30.,1
2012.4971,1,0.05011,0.000241,0.156247,0.000239,,,1.42
2012.5133,2,,,,,186.,30.,1
2012.5326,1,0.051374,0.000226,0.156194,0.000226,,,1.42
2012.5441,1,0.051083,0.000246,0.1561,0.000246,,,1.42
2012.552,1,0.051671,0.000239,0.15581,0.000239,,,1.42
2012.5521,1,0.050491,0.000468,0.155556,0.000468,,,1.42
2012.6038,1,0.051741,0.000681,0.155036,0.000684,,,1.42
2012.6995,1,0.052047,0.000222,0.153351,0.000221,,,1.42
2012.705,2,,,,,190.,40.,1
2013.1605,1,0.055316,0.000265,0.147069,0.000265,,,1.42
2013.2398,1,0.055515,0.00024,0.145818,0.00024,,,1.42
2013.2621,2,,,,,313.,20.,1
2013.3165,1,0.056506,0.000259,0.144577,0.00026,,,1.42
2013.3657,1,0.056665,0.000228,0.143433,0.000228,,,1.42
2013.4201,1,0.056698,0.000313,0.14274,0.000312,,,1.42
2013.4366,1,0.055966,0.000448,0.142703,0.000447,,,1.42
2013.4941,1,0.057276,0.00034,0.140936,0.00034,,,1.42
2013.502,1,0.057265,0.000249,0.141064,0.000249,,,1.42
2013.5869,1,0.057909,0.000232,0.139501,0.000232,,,1.42
2013.5898,1,0.057257,0.000708,0.139324,0.00071,,,1.42
2013.617,1,0.058299,0.000345,0.139023,0.000346,,,1.42
2013.6551,2,,,,,361.,40.,1
2013.7262,2,,,,,384.,30.,1
2014.1848,2,,,,,490.,25.,1
2014.2628,2,,,,,515.,30.,1
2014.5212,2,,,,,568.,15.,1
2015.2988,2,,,,,765.,20.,1
2015.4321,1,0.066184,0.000247,0.097738,0.000245,,,1.42
2015.5166,1,0.066654,0.000238,0.09533,0.000236,,,1.42
2015.7057,2,,,,,869.,40.,1
2015.7058,1,0.066975,0.00031,0.090068,0.00031,,,1.42
2015.7468,1,0.06679,0.000246,0.088463,0.000249,,,1.42
2016.2212,1,0.066118,0.000256,0.073339,0.000254,,,1.42
2016.2842,2,,,,,1081.,40.,1
2016.2871,1,0.065984,0.000293,0.07079,0.000291,,,1.42
2016.3252,1,0.065965,0.000496,0.06968,0.000496,,,1.42
2016.369,1,0.066185,0.000524,0.068691,0.000524,,,1.42
2016.5191,2,,,,,1198.,30.,1
2016.5247,1,0.064423,0.00029,0.062721,0.000287,,,1.42
2016.5302,1,0.065114,0.000282,0.062739,0.000281,,,1.42
